Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|NL,25.07.2022 00:00 - 25.07.2022 01:00 (CET/CEST),0.0,0.0,0.0,3505.0,3017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.25,28.25,0.0,0.0,53.0,371.0,212.75
BZN|NL,25.07.2022 01:00 - 25.07.2022 02:00 (CET/CEST),0.0,0.0,0.0,2077.75,2956.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.25,30.75,0.0,0.0,53.75,310.5,225.25
BZN|NL,25.07.2022 02:00 - 25.07.2022 03:00 (CET/CEST),0.0,0.0,0.0,1972.25,2958.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,33.25,0.0,0.0,54.25,192.25,173.75
BZN|NL,25.07.2022 03:00 - 25.07.2022 04:00 (CET/CEST),0.0,0.0,0.0,1958.0,2955.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.5,23.25,0.0,0.0,53.25,268.25,63.75
BZN|NL,25.07.2022 04:00 - 25.07.2022 05:00 (CET/CEST),0.0,0.0,0.0,1873.75,2947.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,21.0,0.0,0.0,52.75,516.25,48.5
BZN|NL,25.07.2022 05:00 - 25.07.2022 06:00 (CET/CEST),0.0,0.0,0.0,1984.5,2953.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.5,18.5,0.0,0.0,53.0,659.75,99.5
BZN|NL,25.07.2022 06:00 - 25.07.2022 07:00 (CET/CEST),0.0,0.0,0.0,2365.25,2965.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,27.75,0.0,6.25,54.0,674.75,141.5
BZN|NL,25.07.2022 07:00 - 25.07.2022 08:00 (CET/CEST),0.0,0.0,0.0,2410.0,3022.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.5,54.25,0.0,21.5,53.0,959.75,192.0
BZN|NL,25.07.2022 08:00 - 25.07.2022 09:00 (CET/CEST),0.0,0.0,0.0,2435.0,3061.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.5,88.25,0.0,31.5,52.75,1120.5,255.0
BZN|NL,25.07.2022 09:00 - 25.07.2022 10:00 (CET/CEST),0.0,0.0,0.0,2385.25,3060.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.5,65.75,0.0,63.25,53.75,1155.0,250.75
