"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Poland (PL)","25.07.2022 00:00 - 25.07.2022 01:00 (CET/CEST)","247","4457","50","745","6756","181","n/e","n/e","n/e","323","","96","0","n/e","n/e","n/e","n/e","0","n/e","n/e","796"
"Poland (PL)","25.07.2022 01:00 - 25.07.2022 02:00 (CET/CEST)","249","4340","51","693","6564","181","n/e","n/e","n/e","26","","96","0","n/e","n/e","n/e","n/e","0","n/e","n/e","1150"
"Poland (PL)","25.07.2022 02:00 - 25.07.2022 03:00 (CET/CEST)","248","4291","51","666","6315","181","n/e","n/e","n/e","0","","96","0","n/e","n/e","n/e","n/e","0","n/e","n/e","1381"
"Poland (PL)","25.07.2022 03:00 - 25.07.2022 04:00 (CET/CEST)","249","4191","52","669","6270","180","n/e","n/e","n/e","0","","96","0","n/e","n/e","n/e","n/e","0","n/e","n/e","1659"
"Poland (PL)","25.07.2022 04:00 - 25.07.2022 05:00 (CET/CEST)","248","3756","51","636","6513","181","n/e","n/e","n/e","0","","96","0","n/e","n/e","n/e","n/e","4","n/e","n/e","1851"
"Poland (PL)","25.07.2022 05:00 - 25.07.2022 06:00 (CET/CEST)","247","3741","51","614","6808","180","n/e","n/e","n/e","0","","96","0","n/e","n/e","n/e","n/e","115","n/e","n/e","1888"
"Poland (PL)","25.07.2022 06:00 - 25.07.2022 07:00 (CET/CEST)","242","4596","52","608","7693","181","n/e","n/e","n/e","0","","95","0","n/e","n/e","n/e","n/e","591","n/e","n/e","1728"
"Poland (PL)","25.07.2022 07:00 - 25.07.2022 08:00 (CET/CEST)","229","4939","51","636","8442","181","n/e","n/e","n/e","17","","95","0","n/e","n/e","n/e","n/e","1928","n/e","n/e","1158"
"Poland (PL)","25.07.2022 08:00 - 25.07.2022 09:00 (CET/CEST)","228","5102","49","643","8548","180","n/e","n/e","n/e","79","","100","0","n/e","n/e","n/e","n/e","3498","n/e","n/e","638"
"Poland (PL)","25.07.2022 09:00 - 25.07.2022 10:00 (CET/CEST)","228","5062","49","635","8144","181","n/e","n/e","n/e","0","","109","0","n/e","n/e","n/e","n/e","4746","n/e","n/e","674"
"Poland (PL)","25.07.2022 10:00 - 25.07.2022 11:00 (CET/CEST)","228","4653","49","611","7368","180","n/e","n/e","n/e","0","","107","0","n/e","n/e","n/e","n/e","5646","n/e","n/e","1063"
"Poland (PL)","25.07.2022 11:00 - 25.07.2022 12:00 (CET/CEST)","224","4186","48","624","7352","180","n/e","n/e","n/e","0","","104","0","n/e","n/e","n/e","n/e","6381","n/e","n/e","1309"
"Poland (PL)","25.07.2022 12:00 - 25.07.2022 13:00 (CET/CEST)","226","3908","47","640","7444","180","n/e","n/e","n/e","0","","97","0","n/e","n/e","n/e","n/e","6618","n/e","n/e","1332"
"Poland (PL)","25.07.2022 13:00 - 25.07.2022 14:00 (CET/CEST)","223","4027","46","636","7324","180","n/e","n/e","n/e","0","","95","0","n/e","n/e","n/e","n/e","6526","n/e","n/e","1316"
"Poland (PL)","25.07.2022 14:00 - 25.07.2022 15:00 (CET/CEST)","223","4271","45","629","7265","179","n/e","n/e","n/e","0","","95","0","n/e","n/e","n/e","n/e","6236","n/e","n/e","1312"
"Poland (PL)","25.07.2022 15:00 - 25.07.2022 16:00 (CET/CEST)","223","4699","46","634","7381","180","n/e","n/e","n/e","0","","95","0","n/e","n/e","n/e","n/e","5669","n/e","n/e","1310"
"Poland (PL)","25.07.2022 16:00 - 25.07.2022 17:00 (CET/CEST)","230","5188","45","657","7913","180","n/e","n/e","n/e","0","","95","0","n/e","n/e","n/e","n/e","4633","n/e","n/e","1271"
"Poland (PL)","25.07.2022 17:00 - 25.07.2022 18:00 (CET/CEST)","231","5253","45","670","8824","180","n/e","n/e","n/e","0","","95","0","n/e","n/e","n/e","n/e","3238","n/e","n/e","1257"
"Poland (PL)","25.07.2022 18:00 - 25.07.2022 19:00 (CET/CEST)","229","5407","46","710","9484","181","n/e","n/e","n/e","22","","95","0","n/e","n/e","n/e","n/e","1672","n/e","n/e","1440"
"Poland (PL)","25.07.2022 19:00 - 25.07.2022 20:00 (CET/CEST)","228","5503","46","845","9498","182","n/e","n/e","n/e","337","","98","34","n/e","n/e","n/e","n/e","531","n/e","n/e","1849"
"Poland (PL)","25.07.2022 20:00 - 25.07.2022 21:00 (CET/CEST)","230","5427","47","755","9312","183","n/e","n/e","n/e","307","","147","39","n/e","n/e","n/e","n/e","130","n/e","n/e","2785"
"Poland (PL)","25.07.2022 21:00 - 25.07.2022 22:00 (CET/CEST)","229","5272","47","672","8766","184","n/e","n/e","n/e","11","","151","39","n/e","n/e","n/e","n/e","2","n/e","n/e","3532"
"Poland (PL)","25.07.2022 22:00 - 25.07.2022 23:00 (CET/CEST)","230","5102","49","654","7622","183","n/e","n/e","n/e","0","","121","5","n/e","n/e","n/e","n/e","0","n/e","n/e","3671"
"Poland (PL)","25.07.2022 23:00 - 26.07.2022 00:00 (CET/CEST)","235","4345","50","658","7173","182","n/e","n/e","n/e","0","","102","0","n/e","n/e","n/e","n/e","0","n/e","n/e","3465"
