"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Belgium (BE)","25.07.2022 00:00 - 25.07.2022 01:00 (CET/CEST)","271","n/e","n/e","2271","n/e","0","n/e","n/e","n/e","","12","0","n/e","n/e","3805","N/A","n/e","0","163","21","335"
"Belgium (BE)","25.07.2022 01:00 - 25.07.2022 02:00 (CET/CEST)","270","n/e","n/e","1897","n/e","0","n/e","n/e","n/e","","13","0","n/e","n/e","3812","N/A","n/e","0","166","17","501"
"Belgium (BE)","25.07.2022 02:00 - 25.07.2022 03:00 (CET/CEST)","270","n/e","n/e","1739","n/e","0","n/e","n/e","n/e","","474","0","n/e","n/e","3819","N/A","n/e","0","165","243","594"
"Belgium (BE)","25.07.2022 03:00 - 25.07.2022 04:00 (CET/CEST)","270","n/e","n/e","1728","n/e","0","n/e","n/e","n/e","","1011","0","n/e","n/e","3818","N/A","n/e","0","162","471","625"
"Belgium (BE)","25.07.2022 04:00 - 25.07.2022 05:00 (CET/CEST)","270","n/e","n/e","1712","n/e","0","n/e","n/e","n/e","","1030","0","n/e","n/e","3819","N/A","n/e","0","167","843","647"
"Belgium (BE)","25.07.2022 05:00 - 25.07.2022 06:00 (CET/CEST)","271","n/e","n/e","1835","n/e","0","n/e","n/e","n/e","37","148","0","n/e","n/e","3827","N/A","n/e","0","164","1001","746"
"Belgium (BE)","25.07.2022 06:00 - 25.07.2022 07:00 (CET/CEST)","267","n/e","n/e","2218","n/e","0","n/e","n/e","n/e","979","","0","n/e","n/e","3830","N/A","n/e","80","162","922","597"
"Belgium (BE)","25.07.2022 07:00 - 25.07.2022 08:00 (CET/CEST)","270","n/e","n/e","2291","n/e","0","n/e","n/e","n/e","702","","0","n/e","n/e","3831","N/A","n/e","370","168","1270","407"
"Belgium (BE)","25.07.2022 08:00 - 25.07.2022 09:00 (CET/CEST)","267","n/e","n/e","2238","n/e","0","n/e","n/e","n/e","624","","0","n/e","n/e","3843","N/A","n/e","880","159","1569","340"
"Belgium (BE)","25.07.2022 09:00 - 25.07.2022 10:00 (CET/CEST)","269","n/e","n/e","2033","n/e","0","n/e","n/e","n/e","29","3","0","n/e","n/e","3847","N/A","n/e","1811","162","1517","338"
