"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|CH","25.07.2022 00:00 - 25.07.2022 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","701","","303","304","n/e","1607","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","25.07.2022 01:00 - 25.07.2022 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","240","","294","198","n/e","1719","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","25.07.2022 02:00 - 25.07.2022 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","109","","290","173","n/e","1824","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","25.07.2022 03:00 - 25.07.2022 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","210","","285","125","n/e","1881","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","25.07.2022 04:00 - 25.07.2022 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","175","","291","111","n/e","1898","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","25.07.2022 05:00 - 25.07.2022 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","232","","311","357","n/e","1901","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","25.07.2022 06:00 - 25.07.2022 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","269","","295","389","n/e","1900","n/e","n/e","6","n/e","n/e","0"
"BZN|CH","25.07.2022 07:00 - 25.07.2022 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","491","","319","686","n/e","1900","n/e","n/e","132","n/e","n/e","0"
"BZN|CH","25.07.2022 08:00 - 25.07.2022 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","639","","342","663","n/e","1896","n/e","n/e","435","n/e","n/e","0"
"BZN|CH","25.07.2022 09:00 - 25.07.2022 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","547","","341","602","n/e","1831","n/e","n/e","965","n/e","n/e","0"
"BZN|CH","25.07.2022 10:00 - 25.07.2022 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","510","","330","566","n/e","1710","n/e","n/e","1488","n/e","n/e","0"
"BZN|CH","25.07.2022 11:00 - 25.07.2022 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","423","","322","500","n/e","1621","n/e","n/e","1807","n/e","n/e","0"
"BZN|CH","25.07.2022 12:00 - 25.07.2022 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","387","","342","550","n/e","1546","n/e","n/e","2008","n/e","n/e","0"
"BZN|CH","25.07.2022 13:00 - 25.07.2022 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","399","","340","495","n/e","1528","n/e","n/e","1753","n/e","n/e","0"
"BZN|CH","25.07.2022 14:00 - 25.07.2022 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","272","","323","285","n/e","1527","n/e","n/e","1928","n/e","n/e","0"
"BZN|CH","25.07.2022 15:00 - 25.07.2022 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","318","","330","213","n/e","1527","n/e","n/e","1016","n/e","n/e","0"
"BZN|CH","25.07.2022 16:00 - 25.07.2022 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","343","","361","312","n/e","1527","n/e","n/e","1173","n/e","n/e","0"
"BZN|CH","25.07.2022 17:00 - 25.07.2022 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","413","","335","353","n/e","1527","n/e","n/e","1007","n/e","n/e","0"
"BZN|CH","25.07.2022 18:00 - 25.07.2022 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","947","","341","690","n/e","1526","n/e","n/e","975","n/e","n/e","0"
"BZN|CH","25.07.2022 19:00 - 25.07.2022 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1219","","319","874","n/e","1531","n/e","n/e","203","n/e","n/e","0"
"BZN|CH","25.07.2022 20:00 - 25.07.2022 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1085","","311","952","n/e","1536","n/e","n/e","47","n/e","n/e","0"
"BZN|CH","25.07.2022 21:00 - 25.07.2022 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1177","","318","890","n/e","1538","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","25.07.2022 22:00 - 25.07.2022 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","884","","326","755","n/e","1540","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","25.07.2022 23:00 - 26.07.2022 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","937","","337","632","n/e","1545","n/e","n/e","0","n/e","n/e","0"
