Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|DE-LU,25.07.2022 00:00 - 25.07.2022 01:00 (CET/CEST),4095.75,11761.5,0.0,5870.0,6624.25,8.0,0.0,0.0,21.0,650.5,559.0,1257.75,78.75,0.0,3932.25,240.0,90.0,0.0,854.75,4121.0,8381.25
BZN|DE-LU,25.07.2022 01:00 - 25.07.2022 02:00 (CET/CEST),4095.75,11786.25,0.0,3868.25,7096.5,8.0,0.0,0.0,21.0,121.75,1350.5,1262.25,61.75,0.0,3936.0,240.0,90.0,0.0,855.5,4202.75,11506.0
BZN|DE-LU,25.07.2022 02:00 - 25.07.2022 03:00 (CET/CEST),4082.5,11842.0,0.0,3349.25,7188.0,8.0,0.0,0.0,21.0,3.75,4004.25,1266.25,24.0,0.0,3944.75,240.0,90.0,0.0,853.25,3314.25,13398.75
BZN|DE-LU,25.07.2022 03:00 - 25.07.2022 04:00 (CET/CEST),4086.5,11864.0,0.0,3566.5,7404.25,8.0,0.0,0.0,21.0,1.75,4244.75,1266.25,15.75,0.0,3946.25,240.0,90.0,0.0,857.5,1900.0,14443.0
BZN|DE-LU,25.07.2022 04:00 - 25.07.2022 05:00 (CET/CEST),4081.75,11859.0,0.0,3578.5,7386.75,8.0,0.0,0.0,21.0,111.0,3425.25,1262.0,34.25,0.0,3948.75,240.0,90.0,0.0,856.25,1298.75,15352.25
BZN|DE-LU,25.07.2022 05:00 - 25.07.2022 06:00 (CET/CEST),4068.25,11782.0,0.0,3876.5,7252.5,8.0,0.0,0.0,21.0,62.25,2455.25,1293.75,42.0,0.0,3954.25,240.0,90.0,94.75,840.5,1363.75,15873.5
BZN|DE-LU,25.07.2022 06:00 - 25.07.2022 07:00 (CET/CEST),4053.5,11913.75,0.0,4491.25,6865.75,8.0,0.0,0.0,21.0,793.5,1241.5,1313.25,65.75,0.0,3956.75,240.0,90.0,1571.75,834.25,1664.75,15238.5
BZN|DE-LU,25.07.2022 07:00 - 25.07.2022 08:00 (CET/CEST),4050.25,11769.0,0.0,4679.25,6780.0,8.0,0.0,0.0,21.0,2011.25,404.25,1334.5,112.75,0.0,3959.0,240.0,90.0,6448.0,851.0,1952.5,12665.5
BZN|DE-LU,25.07.2022 08:00 - 25.07.2022 09:00 (CET/CEST),4063.0,11881.25,0.0,4632.0,6678.75,8.0,0.0,0.0,21.0,3708.0,172.0,1352.75,158.5,0.0,3954.5,240.0,90.0,14208.0,843.0,1827.25,8513.75
BZN|DE-LU,25.07.2022 09:00 - 25.07.2022 10:00 (CET/CEST),4064.75,11995.0,0.0,4035.5,6310.75,8.0,0.0,0.0,21.0,1758.0,190.5,1368.75,115.5,0.0,3944.25,240.0,90.0,21874.25,826.75,1576.0,6528.75
