Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|DE-LU,01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST),4597.25,11608.5,0.0,5649.25,3443.75,405.0,0.0,0.0,31.0,347.25,517.5,1166.0,39.0,0.0,8144.75,484.25,196.0,0.0,787.0,383.0,3934.5
BZN|DE-LU,01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST),4584.25,11602.75,0.0,5409.0,3044.75,405.0,0.0,0.0,31.0,396.5,373.0,1159.0,37.25,0.0,8150.25,484.0,196.0,0.0,785.25,394.5,3541.5
BZN|DE-LU,01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST),4581.25,11758.5,0.0,5312.0,3067.25,405.5,0.0,0.0,31.0,348.5,577.75,1142.75,21.25,0.0,8156.5,484.0,196.0,0.0,779.0,305.25,3217.0
BZN|DE-LU,01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST),4570.75,12337.5,0.0,5127.0,2852.5,405.5,0.0,0.0,31.0,5.5,2854.0,1139.75,39.5,0.0,8153.75,484.25,196.0,0.0,770.25,319.25,2787.5
BZN|DE-LU,01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST),4571.0,12395.0,0.0,4993.0,2713.25,404.75,0.0,0.0,31.0,6.0,3730.5,1137.25,17.75,0.0,8150.5,495.0,200.75,0.0,760.0,296.25,2492.5
BZN|DE-LU,01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST),4589.25,12699.5,0.0,5057.5,2736.5,405.0,0.0,0.0,30.0,33.5,2892.75,1129.0,16.5,0.0,8150.25,496.0,201.25,0.0,787.0,432.0,2140.75
BZN|DE-LU,01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST),4628.25,13051.0,0.0,5094.0,2836.5,406.25,0.0,0.0,30.0,89.75,2634.25,1125.5,35.0,0.0,8154.5,498.75,202.75,0.0,794.25,510.25,2010.75
BZN|DE-LU,01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST),4693.0,12472.5,0.0,5169.25,2952.0,408.5,0.0,0.0,30.0,926.25,2178.5,1127.5,30.0,0.0,8152.75,498.0,202.0,0.0,792.75,389.25,1975.0
BZN|DE-LU,01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST),4766.25,12435.75,0.0,5569.25,3087.25,407.5,0.0,0.0,30.0,80.5,2213.75,1123.0,29.25,0.0,8157.5,498.0,202.0,194.0,781.0,359.5,2087.5
BZN|DE-LU,01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST),4764.75,12169.5,0.0,6052.5,3085.0,407.5,0.0,0.0,29.0,81.25,1924.0,1126.75,36.75,0.0,8160.0,498.0,202.0,1363.75,784.75,248.25,2123.5
