"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-North","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","220","n/e","12","5485","16","4","n/e","n/e","n/e","","34","1621","413","n/e","n/e","918","n/e","0","32","n/e","24"
"BZN|IT-North","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","219","n/e","12","4930","16","4","n/e","n/e","n/e","","33","1537","323","n/e","n/e","900","n/e","0","30","n/e","25"
"BZN|IT-North","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","222","n/e","12","4369","16","4","n/e","n/e","n/e","","245","1480","307","n/e","n/e","837","n/e","0","31","n/e","16"
"BZN|IT-North","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","221","n/e","12","4185","16","4","n/e","n/e","n/e","","394","1437","281","n/e","n/e","711","n/e","0","32","n/e","12"
"BZN|IT-North","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","219","n/e","13","4481","16","4","n/e","n/e","n/e","","395","1398","260","n/e","n/e","715","n/e","0","33","n/e","12"
"BZN|IT-North","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","225","n/e","13","4748","26","4","n/e","n/e","n/e","","312","1464","268","n/e","n/e","751","n/e","0","30","n/e","9"
"BZN|IT-North","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","232","n/e","12","4625","38","4","n/e","n/e","n/e","","294","1494","273","n/e","n/e","745","n/e","0","30","n/e","15"
"BZN|IT-North","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","234","n/e","12","4563","43","4","n/e","n/e","n/e","","1021","1551","283","n/e","n/e","710","n/e","0","33","n/e","16"
"BZN|IT-North","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","241","n/e","12","4172","43","4","n/e","n/e","n/e","","1203","1923","325","n/e","n/e","640","n/e","7","32","n/e","18"
"BZN|IT-North","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","244","n/e","12","4718","43","4","n/e","n/e","n/e","","525","2033","311","n/e","n/e","655","n/e","76","33","n/e","10"
"BZN|IT-North","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","244","n/e","13","5511","43","4","n/e","n/e","n/e","","310","1984","380","n/e","n/e","651","n/e","189","33","n/e","8"
"BZN|IT-North","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","246","n/e","13","6410","43","4","n/e","n/e","n/e","","6","1907","402","n/e","n/e","661","n/e","259","31","n/e","8"
"BZN|IT-North","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","245","n/e","13","6520","43","4","n/e","n/e","n/e","85","","2272","621","n/e","n/e","730","n/e","285","28","n/e","12"
"BZN|IT-North","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","247","n/e","13","5877","43","4","n/e","n/e","n/e","95","","2038","559","n/e","n/e","746","n/e","228","31","n/e","12"
"BZN|IT-North","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","247","n/e","13","5573","43","4","n/e","n/e","n/e","","20","1793","389","n/e","n/e","688","n/e","135","34","n/e","16"
"BZN|IT-North","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","248","n/e","12","6061","43","4","n/e","n/e","n/e","","19","1941","393","n/e","n/e","765","n/e","44","36","n/e","14"
"BZN|IT-North","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","250","n/e","13","5849","43","4","n/e","n/e","n/e","68","","2223","469","n/e","n/e","891","n/e","3","34","n/e","15"
"BZN|IT-North","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","247","n/e","13","6025","43","4","n/e","n/e","n/e","128","","3129","610","n/e","n/e","937","n/e","0","34","n/e","15"
"BZN|IT-North","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","242","n/e","13","5581","43","4","n/e","n/e","n/e","254","","3221","568","n/e","n/e","955","n/e","0","33","n/e","14"
"BZN|IT-North","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","241","n/e","12","5760","43","4","n/e","n/e","n/e","234","","3071","555","n/e","n/e","1005","n/e","0","33","n/e","12"
"BZN|IT-North","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","242","n/e","13","5481","43","4","n/e","n/e","n/e","227","","2489","506","n/e","n/e","972","n/e","0","33","n/e","11"
"BZN|IT-North","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","243","n/e","13","5481","34","4","n/e","n/e","n/e","247","","2290","409","n/e","n/e","944","n/e","0","34","n/e","16"
"BZN|IT-North","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","243","n/e","12","5465","26","4","n/e","n/e","n/e","58","","2025","430","n/e","n/e","947","n/e","0","38","n/e","16"
"BZN|IT-North","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","245","n/e","11","4476","16","4","n/e","n/e","n/e","25","","1725","359","n/e","n/e","871","n/e","0","37","n/e","15"
"BZN|IT-North","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","242","n/e","11","4861","16","4","n/e","n/e","n/e","","26","1655","284","n/e","n/e","1159","n/e","0","36","n/e","16"
"BZN|IT-North","02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","243","n/e","12","4141","16","4","n/e","n/e","n/e","","25","1546","274","n/e","n/e","1126","n/e","0","33","n/e","19"
