Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|NL,01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST),15.75,0.0,0.0,5640.5,2082.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,1429.75,0.0,0.0,418.75,260.0,147.75
BZN|NL,01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST),16.75,0.0,0.0,4344.0,2122.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.25,918.75,0.0,0.0,416.0,325.5,155.25
BZN|NL,01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST),16.75,0.0,0.0,3670.5,1850.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,534.75,0.0,0.0,430.25,332.5,174.75
BZN|NL,01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST),17.0,0.0,0.0,2972.5,1532.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.25,510.0,0.0,0.0,436.75,322.75,209.5
BZN|NL,01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST),17.0,0.0,0.0,2881.75,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,501.75,0.0,0.0,436.0,351.75,237.75
BZN|NL,01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST),17.0,0.0,0.0,2850.75,1301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,484.5,0.0,0.0,435.5,352.0,270.5
BZN|NL,01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST),16.5,0.0,0.0,2870.25,1363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,474.75,0.0,0.0,436.5,393.0,282.25
BZN|NL,01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST),16.5,0.0,0.0,3047.25,1403.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,502.75,0.0,0.0,438.25,347.5,279.75
BZN|NL,01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST),16.0,0.0,0.0,3099.0,1717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,496.5,0.0,0.0,433.75,338.25,251.5
BZN|NL,01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST),17.0,0.0,0.0,3722.25,2015.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,512.25,0.0,5.75,424.5,349.25,235.0
BZN|NL,01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST),16.5,0.0,0.0,4132.0,2337.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,608.5,0.0,19.25,423.75,294.25,264.5
BZN|NL,01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST),16.75,0.0,0.0,4286.25,2446.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.25,730.75,0.0,33.75,422.0,296.25,269.75
BZN|NL,01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST),17.25,0.0,0.0,4360.5,2538.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,795.5,0.0,37.5,415.75,343.25,268.0
BZN|NL,01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST),17.25,0.0,0.0,4319.5,2532.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.25,743.5,0.0,41.75,419.25,353.5,243.25
BZN|NL,01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST),17.25,0.0,0.0,4737.5,2536.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,902.25,0.0,37.25,424.5,360.25,238.5
BZN|NL,01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST),17.0,0.0,0.0,5214.5,2662.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,1082.25,0.0,16.75,405.0,364.0,242.75
BZN|NL,01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST),16.5,0.0,0.0,5410.5,2693.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,1210.5,0.0,1.25,386.0,306.25,275.25
BZN|NL,01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST),14.25,0.0,0.0,5703.25,2845.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,1549.25,0.0,0.0,378.5,271.0,282.25
