"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DE-LU","25.07.2022 00:00 - 25.07.2022 00:15 (CET/CEST)","4097","11824","n/e","7183","6304","8","n/e","n/e","21","1581","48","1255","80","n/e","3938","240","90","0","856","4052","7150"
"BZN|DE-LU","25.07.2022 00:15 - 25.07.2022 00:30 (CET/CEST)","4098","11812","n/e","6096","6565","8","n/e","n/e","21","876","128","1255","81","n/e","3932","240","90","0","847","4058","7903"
"BZN|DE-LU","25.07.2022 00:30 - 25.07.2022 00:45 (CET/CEST)","4094","11740","n/e","5382","6737","8","n/e","n/e","21","88","539","1261","108","n/e","3931","240","90","0","857","4111","8850"
"BZN|DE-LU","25.07.2022 00:45 - 25.07.2022 01:00 (CET/CEST)","4094","11670","n/e","4819","6891","8","n/e","n/e","21","57","1521","1260","46","n/e","3928","240","90","0","859","4263","9622"
"BZN|DE-LU","25.07.2022 01:00 - 25.07.2022 01:15 (CET/CEST)","4098","11785","n/e","4145","6996","8","n/e","n/e","21","159","440","1263","101","n/e","3938","240","90","0","856","4278","10423"
"BZN|DE-LU","25.07.2022 01:15 - 25.07.2022 01:30 (CET/CEST)","4096","11781","n/e","3947","7091","8","n/e","n/e","21","94","685","1264","53","n/e","3937","240","90","0","857","4205","11208"
"BZN|DE-LU","25.07.2022 01:30 - 25.07.2022 01:45 (CET/CEST)","4096","11799","n/e","3723","7131","8","n/e","n/e","21","108","1611","1257","48","n/e","3934","240","90","0","859","4201","11859"
"BZN|DE-LU","25.07.2022 01:45 - 25.07.2022 02:00 (CET/CEST)","4093","11780","n/e","3658","7168","8","n/e","n/e","21","126","2666","1265","45","n/e","3935","240","90","0","850","4127","12534"
"BZN|DE-LU","25.07.2022 02:00 - 25.07.2022 02:15 (CET/CEST)","4079","11813","n/e","3355","7139","8","n/e","n/e","21","8","3389","1261","38","n/e","3946","240","90","0","858","3832","12975"
"BZN|DE-LU","25.07.2022 02:15 - 25.07.2022 02:30 (CET/CEST)","4082","11835","n/e","3327","7116","8","n/e","n/e","21","7","3838","1265","26","n/e","3946","240","90","0","852","3549","13292"
"BZN|DE-LU","25.07.2022 02:30 - 25.07.2022 02:45 (CET/CEST)","4085","11851","n/e","3346","7187","8","n/e","n/e","21","0","4460","1268","14","n/e","3944","240","90","0","850","3107","13500"
"BZN|DE-LU","25.07.2022 02:45 - 25.07.2022 03:00 (CET/CEST)","4084","11869","n/e","3369","7310","8","n/e","n/e","21","0","4330","1271","18","n/e","3943","240","90","0","853","2769","13828"
